"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","tartness","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
7,0.27,0.36,20.7,0.045,9.56532086635917,45,170,1.001,3,0.45,8.8,5.94
6.3,0.3,0.34,1.6,0.049,8.83979385190972,14,132,0.994,3.3,0.49,9.5,6.02
8.1,0.28,0.4,6.9,0.05,10.4404724740084,30,97,0.9951,3.26,0.44,10.1,5.92
7.2,0.23,0.32,8.5,0.058,9.73903859667481,47,186,0.9956,3.19,0.4,9.9,6.16
7.2,0.23,0.32,8.5,0.058,10.6652437014447,47,186,0.9956,3.19,0.4,9.9,6.03
6.2,0.32,0.16,7,0.045,11.3274461561505,30,136,0.9949,3.18,0.47,9.6,6.05
7,0.27,0.36,20.7,0.045,10.1646102769031,45,170,1.001,3,0.45,8.8,6.07
6.3,0.3,0.34,1.6,0.049,9.64274600370159,14,132,0.994,3.3,0.49,9.5,6.06
8.1,0.22,0.43,1.5,0.044,10.3682751456006,28,129,0.9938,3.22,0.45,11,5.97
8.1,0.27,0.41,1.45,0.033,9.33232120260475,11,63,0.9908,2.99,0.56,12,5.15
8.6,0.23,0.4,4.2,0.035,10.5833670823639,17,109,0.9947,3.14,0.53,9.7,5.04
7.9,0.18,0.37,1.2,0.04,10.9820284979494,16,75,0.992,3.18,0.63,10.8,4.94
6.6,0.16,0.4,1.5,0.044,10.4753295515253,48,143,0.9912,3.54,0.52,12.4,6.78
8.3,0.42,0.62,19.25,0.04,9.63349214627472,41,172,1.0002,2.98,0.67,9.7,5.11
6.6,0.17,0.38,1.5,0.032,9.22091204385319,28,112,0.9914,3.25,0.55,11.4,7
6.3,0.48,0.04,1.1,0.046,9.57713431195906,30,99,0.9928,3.24,0.36,9.6,6
6.2,0.66,0.48,1.2,0.029,12.31706910154,29,75,0.9892,3.33,0.39,12.8,8.09
7.4,0.34,0.42,1.1,0.033,10.4876665784519,17,171,0.9917,3.12,0.53,11.3,6.08
6.5,0.31,0.14,7.5,0.044,10.3484632521619,34,133,0.9955,3.22,0.5,9.5,5.06
6.2,0.66,0.48,1.2,0.029,10.8680721488489,29,75,0.9892,3.33,0.39,12.8,8.09
6.8,0.26,0.42,1.7,0.049,10.7539934862176,41,122,0.993,3.47,0.48,10.5,8.01
7.6,0.67,0.14,1.5,0.074,10.3003384435688,25,168,0.9937,3.05,0.51,9.3,4.8
6.6,0.27,0.41,1.3,0.052,9.49176119591912,16,142,0.9951,3.42,0.47,10,6.06
7,0.25,0.32,9,0.046,9.92121750120286,56,245,0.9955,3.25,0.5,10.4,5.99
6.9,0.24,0.35,1,0.052,10.7048978281496,35,146,0.993,3.45,0.44,10,5.98
7,0.28,0.39,8.7,0.051,10.0177870836297,32,141,0.9961,3.38,0.53,10.5,5.85
7.4,0.27,0.48,1.1,0.047,7.80664459411338,17,132,0.9914,3.19,0.49,11.6,5.95
7.2,0.32,0.36,2,0.033,10.4038497095498,37,114,0.9906,3.1,0.71,12.3,7.04
8.5,0.24,0.39,10.4,0.044,10.9123099751706,20,142,0.9974,3.2,0.53,10,6.14
7.4,0.25,0.36,2.05,0.05,9.99814661943312,31,100,0.992,3.19,0.44,10.8,6.04
6.2,0.12,0.34,1.5,0.045,12.0222175937485,43,117,0.9939,3.42,0.51,9,5.99
5.8,0.27,0.2,14.95,0.044,8.88058821763062,22,179,0.9962,3.37,0.37,10.2,4.86
7.3,0.28,0.43,1.7,0.08,8.90551302518462,21,123,0.9905,3.19,0.42,12.8,4.96
6.5,0.39,0.23,5.4,0.051,9.18383523655243,25,149,0.9934,3.24,0.35,10,4.96
7,0.33,0.32,1.2,0.053,8.45292318957888,38,138,0.9906,3.13,0.28,11.2,5.99
7.3,0.24,0.39,17.95,0.057,11.8465757142467,45,149,0.9999,3.21,0.36,8.6,5.11
7.3,0.24,0.39,17.95,0.057,10.0956409869258,45,149,0.9999,3.21,0.36,8.6,5.08
6.7,0.23,0.39,2.5,0.172,11.6152748550959,63,158,0.9937,3.11,0.36,9.4,5.98
